"family","order","class","final_diet","feed_mode","source","notes","zoophagous","phytophagous","detritophagous","mycetophagous","saprophagous","coprophagous","phyllophagous","saproxylic","sap.sucking","stem","flower","seed","gall.inducing","miners","roots","not.specified","predator","parasitoid","micropredator","parasite","necrophorous","not.specified.1","n","c","c-(h)","c-d","c-d-h","c-f","c-h","d","d-f","d-h","f","f-h","h","h-(c)","diet.cat","diet.cat2"
"Limnephilidae","Trichoptera","Insecta","mixed","not specified","Horren",NA,"0","0.4","0.6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","multiple categories","Mulitple categories"
"Blattellidae","Blattodea","Insecta","mixed","not specified","Horren",NA,"0","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Rhinophoridae","Diptera","Insecta","zoophagous","parasitoid","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Ptinidae","Coleoptera","Insecta","phytophagous","phyllophagous","Horren",NA,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytophagous-phyllophagous","Phytophagous"
"Cyclopidae","Cyclopoida","Insecta","zoophagous","predator","Article","https://link.springer.com/chapter/10.1007/1-4020-4408-9_49#:~:text=Most%20copepod%20species%2C%20at%20least,from%20protozoans%20to%20small%20cladocerans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Philopteridae","Phthiraptera","Insecta","zoophagous","parasite","Horren",NA,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Gryllacrididae","Orthoptera","Insecta","zoophagous","predator","Borror & Delong","eats aphids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Sclerosomatidae","Opiliones","Arachnida","mixed","mixed","Milne&Milne","eats small inverts & decaying fungi/plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Nabidae","Hemiptera","Insecta","zoophagous","predator","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Geocoridae","Hemiptera","Insecta","zoophagous","predator","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Oestridae","Diptera","Insecta","zoophagous","parasite","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-parasite/parasitoid","Parasite/parasitoid"
"Corydalidae","Megaloptera","Insecta","zoophagous","predator","Borror & Delong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Forficulidae","Dermaptera","Insecta","mixed","mixed","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Hypogastruridae","Poduromorpha","Collembola","mixed","NA","Velazco et al. (2022)","""mainly associated with saprophytic fungi (119 species), followed in importance by bacteria, litter and humus."" doi.org/10.1101/2021.02.06.430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Cydnidae","Hemiptera","Insecta","phytophagous","sap sucking","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytophagous-sap sucking","Phytophagous"
"Argidae","Hymenoptera","Insecta","phytophagous","phyllophagous","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytophagous-phyllophagous","Phytophagous"
"Coelopidae","Diptera","Insecta","mixed","not specified","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Bdellidae","Trombidiformes","Arachnida","zoophagous","predator","Article","https://www.cabdirect.org/cabdirect/abstract/20133230982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Phenopelopidae","Sarcoptiformes","Arachnida","mixed","NA","Velazco et al. (2022)","""the order Sarcoptiformes (Acari) consumes mainly saprophytic fungi, bacteria, litter, plant tissues, and Mycorrhizal fungi"" doi.org/10.1101/2021.02.06.430061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Coleophoridae","Lepidoptera","Insecta","phytophagous","mixed","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytophagous-multiple/other","Phytophagous"
"Anthomyiidae","Diptera","Insecta","mixed","NA","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Isotomidae","Entomobryomorpha","Collembola","mixed","NA","Velazco et al. (2022)","""mainly associated with saprophytic fungi (119 species), followed in importance by bacteria, litter and humus."" doi.org/10.1101/2021.02.06.430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Lonchopteridae","Diptera","Insecta","detritophagous","NA","Horren","90% sapro/mycet/copro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritophagous/scavenger","Scavenger"
"Sciomyzidae","Diptera","Insecta","zoophagous","mixed","Horren",".4 predator, .2 parasitoid/necrophorous/not specified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-mixed","Predator"
"Phytoseiidae"," Mesostigmata","Arachnida","zoophagous","predator","bugguide.net","""Predatceous on other mites""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zoophagous-predator","Predator"
"Depressariidae","Lepidoptera","Insecta","mixed","NA","Horren","info based on Oecophoridae, which is a synonym according to Borror & White",NA,"0.8","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"multiple categories","Mulitple categories"
"Lauxaniidae","Diptera","Insecta","phytophagous","mixed","Horren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phytophagous-multiple/other","Phytophagous"
